principal_component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.47100768781898106,0.47100768781898106
2,0.23833303788530427,0.7093407257042853
3,0.22647179327909456,0.9358125189833799
4,0.06418748101662013,1.0
