kmeans_cluster,N,P,K,ph,cluster_size
0,32.15846153846154,52.972307692307695,33.23846153846155,7.214585562750769,650
1,95.67365661861074,41.82568807339449,37.93971166448231,6.484579053378768,763
2,21.989999999999995,133.375,200.00000000000003,5.977799806455,200
3,22.000000000000004,41.52981260647359,26.192504258943774,5.792302808785349,587
